kec,cluster,keterangan
KARAWANG BARAT ,1,Rawan
PANGKALAN,2,Tidak Rawan
TELUKJAMBE TIMUR,1,Rawan
CIAMPEL,2,Tidak Rawan
KLARI,1,Rawan
RENGASDENGKLOK,0,Sangat Rawan
CILAMAYA KULON,2,Tidak Rawan
BATUJAYA,2,Tidak Rawan
TIRTAJAYA,2,Tidak Rawan
PEDES,2,Tidak Rawan
CIBUAYA,2,Tidak Rawan
PAKISJAYA,2,Tidak Rawan
CIKAMPEK,0,Sangat Rawan
JATISARI,2,Tidak Rawan
CILAMAYA WETAN,2,Tidak Rawan
TIRTAMULYA,2,Tidak Rawan
TELAGASARI,0,Sangat Rawan
RAWAMERTA,2,Tidak Rawan
LEMAHABANG,2,Tidak Rawan
TEMPURAN,0,Sangat Rawan
MAJALAYA,0,Sangat Rawan
JAYAKERTA,2,Tidak Rawan
KUTAWALUYA,2,Tidak Rawan
BANYUSARI,2,Tidak Rawan
KOTA BARU,0,Sangat Rawan
KARAWANG TIMUR,1,Rawan
TELUKJAMBE BARAT,2,Tidak Rawan
TEGALWARU,2,Tidak Rawan
PURWASARI,0,Sangat Rawan
CILEBAR,2,Tidak Rawan
